(-588.596, 2297.86)
(-588.56, 2298.23)
(-588.56, 2390.95)
(-588.388, 2393.56)
(-587.696, 2398.81)
(-586.344, 2403.86)
(-584.821, 2407.53)
(-582.21, 2412.05)
(-579.788, 2415.2)
(-576.097, 2418.89)
(-572.941, 2421.32)
(-568.42, 2423.93)
(-564.746, 2425.45)
(-559.703, 2426.8)
(-554.449, 2427.49)
(-551.84, 2427.66)
(-192.812, 2427.66)
(-190.199, 2427.49)
(-184.948, 2426.8)
(-179.906, 2425.45)
(-176.233, 2423.92)
(-171.712, 2421.31)
(-168.558, 2418.89)
(-164.867, 2415.2)
(-162.447, 2412.05)
(-159.836, 2407.53)
(-158.315, 2403.85)
(-156.963, 2398.81)
(-156.271, 2393.56)
(-156.1, 2390.95)
(-156.1, 2140.01)
(-156.014, 2138.7)
(-154.256, 2125.36)
(-153.583, 2122.85)
(-148.683, 2111.03)
(-147.383, 2108.77)
(-139.59, 2098.62)
(-137.752, 2096.78)
(-127.597, 2088.99)
(-125.346, 2087.69)
(-113.52, 2082.79)
(-111.01, 2082.12)
(-97.6692, 2080.37)
(-96.3652, 2080.28)
(-92.0614, 2080.28)
(-89.4499, 2080.11)
(-84.1957, 2079.42)
(-79.153, 2078.07)
(-75.4778, 2076.54)
(-70.9567, 2073.93)
(-67.8007, 2071.51)
(-64.1092, 2067.82)
(-61.6875, 2064.66)
(-59.077, 2060.14)
(-57.5546, 2056.47)
(-56.2032, 2051.42)
(-55.5112, 2046.17)
(-55.34, 2043.56)
(-55.34, 2003.55)
(-55.5118, 2000.94)
(-56.2044, 1995.69)
(-57.5566, 1990.65)
(-59.0793, 1986.97)
(-61.6902, 1982.45)
(-64.1118, 1979.3)
(-67.8035, 1975.61)
(-70.959, 1973.18)
(-75.4801, 1970.57)
(-79.1545, 1969.05)
(-84.1969, 1967.7)
(-89.4507, 1967.01)
(-92.0605, 1966.84)
(-147.29, 1966.84)
(-147.69, 1966.82)
(-150.042, 1966.24)
(-151.198, 1965.77)
(-155.306, 1965.05)
(-159.475, 1965.2)
(-163.522, 1966.2)
(-164.911, 1966.71)
(-166.043, 1966.84)
(-384.859, 1966.84)
(-387.47, 1967.01)
(-390.685, 1967.43)
(-395.728, 1968.79)
(-397.502, 1969.52)
(-402.024, 1972.13)
(-403.548, 1973.3)
(-407.24, 1976.99)
(-408.409, 1978.52)
(-411.019, 1983.04)
(-411.754, 1984.81)
(-413.106, 1989.86)
(-413.529, 1993.07)
(-413.7, 1995.68)
(-413.7, 2086.47)
(-413.786, 2087.78)
(-415.544, 2101.12)
(-416.217, 2103.63)
(-421.117, 2115.45)
(-422.417, 2117.71)
(-430.21, 2127.86)
(-432.048, 2129.7)
(-442.203, 2137.49)
(-444.454, 2138.79)
(-456.28, 2143.69)
(-458.79, 2144.36)
(-472.134, 2146.11)
(-473.431, 2146.2)
(-533.407, 2146.24)
(-567.579, 2146.24)
(-570.19, 2146.41)
(-571.012, 2146.52)
(-574.653, 2147.35)
(-578.076, 2148.84)
(-581.162, 2150.95)
(-583.802, 2153.59)
(-585.906, 2156.67)
(-587.4, 2160.1)
(-588.231, 2163.74)
(-588.339, 2164.56)
(-588.51, 2167.17)
(-588.53, 2293.27)
(-588.596, 2293.94)
(-588.596, 2297.86)
(-588.596, 2297.86)
