(1059.68, 2763.62)
(1061.35, 2763.62)
(1084.64, 2763.62)
(1089.75, 2763.0)
(1094.57, 2761.19)
(1098.81, 2758.28)
(1102.25, 2754.45)
(1145.35, 2692.9)
(1174.84, 2650.8)
(1180.21, 2644.8)
(1186.85, 2640.25)
(1194.39, 2637.42)
(1202.38, 2636.45)
(1281.89, 2636.45)
(1285.41, 2635.99)
(1288.7, 2634.62)
(1291.52, 2632.46)
(1293.68, 2629.64)
(1295.05, 2626.35)
(1295.51, 2622.83)
(1295.51, 2469.28)
(1295.05, 2465.76)
(1293.68, 2462.47)
(1291.52, 2459.65)
(1288.7, 2457.49)
(1285.41, 2456.12)
(1281.89, 2455.66)
(907.87, 2455.66)
(904.345, 2456.12)
(901.061, 2457.49)
(898.24, 2459.65)
(896.076, 2462.47)
(894.715, 2465.76)
(894.25, 2469.28)
(894.25, 2559.07)
(893.516, 2566.83)
(891.342, 2574.32)
(887.805, 2581.27)
(883.03, 2587.44)
(882.32, 2588.18)
(879.855, 2591.37)
(878.029, 2594.97)
(876.908, 2598.84)
(876.53, 2602.86)
(876.53, 2742.12)
(877.262, 2747.68)
(879.41, 2752.87)
(882.827, 2757.32)
(887.28, 2760.74)
(892.465, 2762.89)
(898.03, 2763.62)
(1059.68, 2763.62)
(1059.68, 2763.62)
