(456.98, 1756.44)
(541.185, 1756.44)
(541.185, 1592.24)
(277.18, 1592.24)
(270.959, 1592.77)
(264.928, 1594.38)
(259.276, 1597.03)
(254.18, 1600.64)
(251.38, 1603.04)
(216.98, 1632.64)
(210.999, 1636.88)
(204.365, 1640.0)
(197.285, 1641.91)
(189.98, 1642.54)
(120.88, 1642.54)
(115.819, 1643.21)
(111.106, 1645.18)
(107.063, 1648.29)
(103.966, 1652.35)
(102.028, 1657.08)
(101.38, 1662.14)
(101.38, 1681.74)
(102.043, 1686.79)
(103.991, 1691.49)
(107.09, 1695.53)
(111.129, 1698.63)
(115.832, 1700.58)
(120.88, 1701.24)
(122.18, 1701.24)
(122.28, 1701.34)
(172.08, 1701.34)
(182.82, 1702.76)
(192.829, 1706.9)
(201.423, 1713.5)
(208.019, 1722.09)
(212.165, 1732.1)
(213.58, 1742.84)
(213.58, 1752.64)
(214.042, 1756.16)
(215.4, 1759.44)
(217.561, 1762.26)
(220.378, 1764.42)
(223.659, 1765.78)
(227.18, 1766.24)
(396.98, 1766.24)
(398.93, 1766.1)
(400.839, 1765.68)
(402.669, 1764.99)
(404.38, 1764.04)
(406.88, 1762.44)
(407.08, 1762.44)
(412.521, 1759.85)
(418.246, 1757.96)
(424.165, 1756.82)
(430.18, 1756.44)
(454.88, 1756.44)
(456.98, 1756.44)
