(-1121.56, 2329.16)
(-1121.56, 2421.63)
(-1120.62, 2428.75)
(-1117.87, 2435.39)
(-1113.5, 2441.1)
(-1107.79, 2445.47)
(-1101.15, 2448.22)
(-1094.03, 2449.16)
(-845.68, 2449.16)
(-842.354, 2448.96)
(-839.077, 2448.36)
(-835.897, 2447.36)
(-832.86, 2445.99)
(-813.11, 2435.58)
(-807.457, 2433.02)
(-801.536, 2431.17)
(-795.434, 2430.04)
(-789.24, 2429.66)
(-694.25, 2429.66)
(-685.087, 2428.45)
(-676.548, 2424.92)
(-669.214, 2419.29)
(-663.587, 2411.96)
(-660.048, 2403.42)
(-658.84, 2394.26)
(-658.84, 2155.54)
(-660.049, 2146.38)
(-663.587, 2137.84)
(-669.215, 2130.51)
(-676.548, 2124.88)
(-685.087, 2121.35)
(-694.25, 2120.14)
(-1099.15, 2120.14)
(-1108.31, 2121.35)
(-1116.85, 2124.88)
(-1124.18, 2130.51)
(-1129.81, 2137.84)
(-1133.35, 2146.38)
(-1134.56, 2155.54)
(-1134.56, 2248.21)
(-1134.52, 2249.67)
(-1134.4, 2251.12)
(-1134.21, 2252.56)
(-1133.94, 2253.99)
(-1122.69, 2306.27)
(-1122.19, 2308.93)
(-1121.84, 2311.62)
(-1121.63, 2314.32)
(-1121.56, 2317.03)
(-1121.56, 2328.14)
(-1121.56, 2329.16)
(-1121.56, 2329.16)
