[-316.92, 1231.78, -316.92, 1108.22, -207.08, 1108.22, -207.08, 1231.78]
[-62.66, 1193.66, -62.66, 1276.34, -145.34, 1276.34, -145.34, 1193.66]
[-155.34, 1189.4, -72.66, 1189.4, -72.66, 1114.6, -155.34, 1114.6]
[-202.94, 1193.84, -202.94, 1274.16, -151.06, 1274.16, -151.06, 1193.84]
[-322.0, 1138.0, -364.0, 1138.0, -364.0, 1211.0, -322.0, 1211.0]
[-314.83, 1309.95, -314.83, 1254.05, -369.17, 1254.05, -369.17, 1309.95]
[-271.87, 1347.98, -228.53, 1347.98, -228.53, 1281.02, -271.87, 1281.02]
[-224.17, 1347.98, -180.83, 1347.98, -180.83, 1281.02, -224.17, 1281.02]
[-367.77, 1381.98, -324.43, 1381.98, -324.43, 1315.02, -367.77, 1315.02]
[-320.07, 1381.98, -276.73, 1381.98, -276.73, 1315.02, -320.07, 1315.02]
[-200.5, 1181.0, -160.5, 1181.0, -160.5, 1110.0, -200.5, 1110.0]
[-262.0, 1265.5, -262.0, 1237.5, -310.0, 1237.5, -310.0, 1265.5]
[-256.0, 1237.5, -256.0, 1265.5, -208.0, 1265.5, -208.0, 1237.5]
[-134.14, 1339.79, -134.14, 1313.21, -176.46, 1313.21, -176.46, 1339.79]
[-400.3, 1252.16, -374.7, 1252.16, -374.7, 1293.5, -400.3, 1293.5]
[-290.5, 1298.0, -304.5, 1298.0, -304.5, 1272.0, -290.5, 1272.0]
[-134.5, 1307.5, -148.5, 1307.5, -148.5, 1281.5, -134.5, 1281.5]
[-370.5, 1200.5, -370.5, 1214.5, -396.5, 1214.5, -396.5, 1200.5]
[-166.5, 1280.0, -153.5, 1280.0, -153.5, 1305.0, -166.5, 1305.0]
[-160.5, 1371.5, -173.5, 1371.5, -173.5, 1346.5, -160.5, 1346.5]
[-400.0, 1310.5, -400.0, 1297.5, -375.0, 1297.5, -375.0, 1310.5]
[-153.48, 1375.61, -153.48, 1362.61, -128.48, 1362.61, -128.48, 1375.61]
[-137.54, 1357.64, -137.54, 1348.58, -154.48, 1348.58, -154.48, 1357.64]
[-130.45, 1348.58, -130.45, 1357.64, -113.51, 1357.64, -113.51, 1348.58]
[-101.44, 1299.72, -92.38, 1299.72, -92.38, 1282.78, -101.44, 1282.78]
[-106.41, 1282.85, -115.47, 1282.85, -115.47, 1299.79, -106.41, 1299.79]
[-78.19, 1282.87, -87.25, 1282.87, -87.25, 1299.81, -78.19, 1299.81]
[-340.47, 1114.03, -349.53, 1114.03, -349.53, 1130.97, -340.47, 1130.97]
[-335.53, 1123.97, -326.47, 1123.97, -326.47, 1107.03, -335.53, 1107.03]
[-353.53, 1243.47, -344.47, 1243.47, -344.47, 1226.53, -353.53, 1226.53]
[-380.53, 1242.53, -380.53, 1233.47, -397.47, 1233.47, -397.47, 1242.53]
[-380.53, 1228.53, -380.53, 1219.47, -397.47, 1219.47, -397.47, 1228.53]
[-73.14, 1299.87, -64.08, 1299.87, -64.08, 1282.93, -73.14, 1282.93]
